date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:41	505/505	---M-Z	200	added ('OK')	text/plain	date:Tue,%2009%20Dec%202025%2002:25:41%20GMT	https://www.macydyet.com/robots.txt		(from )
15:25:42	216245/216245	---M-Z	200	added ('OK')	text/html	etag:W/%22f3e1c7eb028f3cc4d44eac8299be0408%22	https://www.macydyet.com/	C:/My%20Web%20Sites/macy/www.macydyet.com/index.html	(from )
15:25:42	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Tue,%2009%20Dec%202025%2002:25:42%20GMT	http://static1.squarespace.com/static/65b8934abc2f332b3c970c65/t/65b8b1da89ff886987fb380d/1706602970268/Screenshot+2024-01-30+at+9.22.31+PM.png?format=1500w	C:/My%20Web%20Sites/macy/static1.squarespace.com/static/65b8934abc2f332b3c970c65/t/65b8b1da89ff886987fb380d/1706602970268/Screenshot+2024-01-30+at+9.22.31+PM.026f7.delayed	(from https://www.macydyet.com/)
15:25:44	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/My%20Web%20Sites/macy/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.macydyet.com/)
15:25:46	18079/18079	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2009%20Dec%202025%2002:25:44%20GMT	http://use.typekit.net/ik/EKCg7m6Yj51-_qV2fVcq1URoRbu6rtwtAviHMiyHi6wfe7JgfFHN4UJLFRbh52jhWDjujR6owDsyjcwkZRwDwcJDjDqawewhFsGMJy4y-asTiKu1ScNXZWFnOWsG-AtKBcBnie8hOAikdas8ShClZWyXZAoqZAb7f6ReobIbMg6fJMJ7f6RYobIbMg6wJMJ7f6KiX6IbMs6IJMJ7f6KyX6IbMs6YJMJ7f6KpX6IbMs65JMJ7f6KKX6IbMs6sJMHbMZxAkdqe.js	C:/My%20Web%20Sites/macy/use.typekit.net/ik/EKCg7m6Yj51-_qV2fVcq1URoRbu6rtwtAviHMiyHi6wfe7JgfFHN4UJLFRbh52jhWDjujR6owDsyjcwkZRwDwcJDjDqawewhFsGMJy4y-asTiKu1ScNXZWFnOWsG-AtKBcBnie8hOAikdas8ShClZWyXZAoqZAb7f6ReobIbMg6fJMJ7f6RYobIbMg6wJMJ7f6Ki	(from https://www.macydyet.com/)
15:25:46	27941/27941	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Dec%202025%2002:25:43%20GMT	https://images.squarespace-cdn.com/content/65b8934abc2f332b3c970c65/02626fed-175d-427c-8761-0f91a8f7c9e3/Screenshot+2024-01-30+at+9.22.31+PM.png?format=1500w&content-type=image%2Fpng	C:/My%20Web%20Sites/macy/images.squarespace-cdn.com/content/65b8934abc2f332b3c970c65/02626fed-175d-427c-8761-0f91a8f7c9e3/Screenshot+2024-01-30+at+9.22.31+PM2acd.png	(from https://www.macydyet.com/)
15:25:47	44836/44836	---M-Z	200	added ('OK')	text/javascript	etag:%224c35fe363c2f2d0d1529dc4137e3e502%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-09fb317cf116045b-min.en-US.js	C:/My%20Web%20Sites/macy/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-09fb317cf116045b-min.en-US.js	(from https://www.macydyet.com/)
15:25:50	91514/91514	---M-Z	200	added ('OK')	text/javascript	etag:%220954d3e190bd3f089872c4b0798c8b40%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-22ed584d99d9b83d-min.en-US.js	C:/My%20Web%20Sites/macy/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-22ed584d99d9b83d-min.en-US.js	(from https://www.macydyet.com/)
15:25:50	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/My%20Web%20Sites/macy/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.macydyet.com/)
15:25:55	857780/857780	---M-Z	200	added ('OK')	text/javascript	etag:%2295e588ae39cdec31508f47e3cc14a6d4%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f2a1f6ec9a41489-min.en-US.js	C:/My%20Web%20Sites/macy/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f2a1f6ec9a41489-min.en-US.js	(from https://www.macydyet.com/)
15:25:57	29216/29216	---M-Z	200	added ('OK')	text/javascript	etag:%22bfa777ea7fdc21c26373a03a9f589def%22	http://assets.squarespace.com/universal/scripts-compressed/performance-9e9becad3f889213-min.en-US.js	C:/My%20Web%20Sites/macy/assets.squarespace.com/universal/scripts-compressed/performance-9e9becad3f889213-min.en-US.js	(from https://www.macydyet.com/)
15:26:03	1548595/1548595	---M-Z	200	added ('OK')	text/css	date:Tue,%2009%20Dec%202025%2002:25:58%20GMT	https://static1.squarespace.com/static/versioned-site-css/65b8934abc2f332b3c970c65/24/5c5a519771c10ba3470d8101/65b8934abc2f332b3c970c6c/1711/site.css	C:/My%20Web%20Sites/macy/static1.squarespace.com/static/versioned-site-css/65b8934abc2f332b3c970c65/24/5c5a519771c10ba3470d8101/65b8934abc2f332b3c970c6c/1711/site.css	(from https://www.macydyet.com/)
